# n      x1       x2       g1      g2      eps

4200000  0.763412  0.581713  0.141617  0.216956  0.230938
4210000  0.763939  0.58252  0.141166  0.216412  0.230014
4220000  0.764464  0.583325  0.140716  0.215871  0.229095
4230000  0.764987  0.584128  0.140269  0.215331  0.22818
4240000  0.765509  0.58493  0.139824  0.214793  0.22727
4250000  0.766029  0.585729  0.139381  0.214258  0.226363
4260000  0.766547  0.586526  0.13894  0.213724  0.225461
4270000  0.767064  0.587321  0.138502  0.213192  0.224563
4280000  0.767579  0.588114  0.138065  0.212662  0.223669
4290000  0.768093  0.588906  0.137631  0.212134  0.22278
4300000  0.768605  0.589695  0.137198  0.211608  0.221894
4310000  0.769115  0.590482  0.136768  0.211083  0.221013
4320000  0.769624  0.591268  0.13634  0.210561  0.220135
4330000  0.770131  0.592051  0.135914  0.21004  0.219262
4340000  0.770636  0.592833  0.13549  0.209521  0.218393
4350000  0.77114  0.593612  0.135068  0.209005  0.217528
4360000  0.771643  0.59439  0.134647  0.20849  0.216667
4370000  0.772143  0.595165  0.134229  0.207976  0.21581
4380000  0.772643  0.595939  0.133813  0.207465  0.214956
4390000  0.77314  0.596711  0.133399  0.206955  0.214107
4400000  0.773637  0.597481  0.132987  0.206447  0.213262
4410000  0.774131  0.598249  0.132577  0.205941  0.21242
4420000  0.774624  0.599016  0.132168  0.205437  0.211583
4430000  0.775116  0.59978  0.131762  0.204935  0.210749
4440000  0.775606  0.600543  0.131357  0.204434  0.209919
4450000  0.776095  0.601303  0.130955  0.203935  0.209093
4460000  0.776582  0.602062  0.130554  0.203438  0.20827
4470000  0.777067  0.602819  0.130155  0.202942  0.207452
4480000  0.777551  0.603574  0.129758  0.202448  0.206637
4490000  0.778034  0.604327  0.129363  0.201956  0.205826
4500000  0.778515  0.605079  0.128969  0.201466  0.205018
4510000  0.778995  0.605828  0.128578  0.200977  0.204215
4520000  0.779473  0.606576  0.128188  0.20049  0.203414
4530000  0.77995  0.607322  0.1278  0.200005  0.202618
4540000  0.780425  0.608066  0.127414  0.199522  0.201825
4550000  0.780899  0.608809  0.127029  0.19904  0.201036
4560000  0.781372  0.609549  0.126646  0.198559  0.20025
4570000  0.781843  0.610288  0.126265  0.198081  0.199468
4580000  0.782313  0.611025  0.125886  0.197604  0.198689
4590000  0.782781  0.61176  0.125509  0.197128  0.197914
4600000  0.783248  0.612494  0.125133  0.196655  0.197143
4610000  0.783713  0.613225  0.124759  0.196182  0.196375
4620000  0.784177  0.613955  0.124386  0.195712  0.19561
4630000  0.78464  0.614684  0.124015  0.195243  0.194849
